romset,opdb_id
bushidoa,GrkVZ-MLnkl
bushidob,GrkVZ-MLnkl
cactjack,G5bxy-ML30z
camlight,G43KY-MQKKV
carhop,Grd6d-MLR8W
catacofp,GRoQ6-MLx0X
catacomb,GRoQ6-MLx0X
cataconb,GRoQ6-MLx0X
caveman,GR768-MLErr
cavemana,GR768-MLErr
cc_10,G4835-Mb5eO
cc_104,G4835-Mb5eO
cc_12,G4835-Mb5eO
cc_13,G4835-Mb5eO
cc_13k,G4835-Mb5eO
ccruise,GR7bJ-Mb5RN
centaur,GrX7q-MLWkn
centaura,GrX7q-MLWkn
centaurb,GrX7q-MLWkn
cftbl_d2,GrNWn-MQdqZ
cftbl_d3,GrNWn-MQdqZ
cftbl_d4,GrNWn-MQdqZ
cftbl_l2,GrNWn-MQdqZ
cftbl_l3,GrNWn-MQdqZ
cftbl_l4,GrNWn-MQdqZ
cftbl_l4c,GrNWn-MQdqZ
cftbl_p3,GrNWn-MQdqZ
charlies,G5Woz-MKNq6
cheetafp,GR6kW-Mo1W3
cheetah,GR6kW-Mo1W3
cheetah1,GR6kW-Mo1W3
cheetah2,GR6kW-Mo1W3
cheetah84,GR6kW-Mo1W3
cheetahb,GR6kW-Mo1W3
cheetahb2,GR6kW-Mo1W3
chucklck,G56jk-MnKlw
circa33,G4XD3-MJdVN
circus,G4xXK-Mx01N
circus7,G4xXK-Mx01N
cityslck,GrEVb-MLOxJ
ckpt_a17,G4Jdp-MJNrr
clas1812,G5DYX-M0oVW
clash,Grk62-MLeWx
cleoptra,GrknN-MQrdv
closeenc,G4qvL-MJwVr
clown,G5Wjo-MJ9ll
clownfp,G5Wjo-MJ9ll
cntct_l1,G5v02-MDnyO
cntforc7,GRYPN-Mz2RE
cntforce,GRYPN-Mz2RE
cobrapb,G50zO-MJ97Z
comet_l4,Gryd3-MLqjd
comet_l5,Gryd3-MLqjd
coneyis,G4qjj-MZeyb
congo_11,GrNd0-MJNW1
congo_13,GrNd0-MJNW1
congo_20,GrNd0-MJNW1
congo_20s10k,GrNd0-MJNW1
congo_21,GrNd0-MJNW1
corv_21,GrjDz-MJKN6
corv_dx1,GrjDz-MJKN6
corv_f61,GrjDz-MJKN6
corv_la1,GrjDz-MJKN6
corv_la2,GrjDz-MJKN6
corv_lx1,GrjDz-MJKN6
corv_lx2,GrjDz-MJKN6
corv_px3,GrjDz-MJKN6
corv_px4,GrjDz-MJKN6
corv_px5,GrjDz-MJKN6
cosflnsm,G5pxD-Mp48v
countdwn,G56zB-MLv9k
cp_15,G42k0-MQ6w9
cp_16,G42k0-MQ6w9
cp_16pfx,G42k0-MQ6w9
cpthook,G4jeW-MDb93
csi_102,GRokz-ML8oW
csi_103,GRokz-ML8oW
csi_104,GRokz-ML8oW
csi_200,GRokz-ML8oW
csi_210,GRokz-ML8oW
csi_230,GRokz-ML8oW
csi_240,GRokz-ML8oW
csmic_l1,GRv7B-MLqPd
cue,G4kqd-MDB6w
cueball,G5vPd-MJp7z
cueball1,G5vPd-MJp7z
cueball2,G5vPd-MJp7z
cueball3,G5vPd-MJp7z
cueballv,G5vPd-MJp7z
cv_10,GRVjJ-MLq7W
cv_11,GRVjJ-MLq7W
cv_13,GRVjJ-MLq7W
cv_14,GRVjJ-MLq7W
cv_20h,GRVjJ-MLq7W
cv_20hc,GRVjJ-MLq7W
cv_d52,GRVjJ-MLq7W
cybrnaua,GR69j-MW93o
cybrnaut,GR69j-MW93o
cycln_l1,G4O2b-MJpn4
cycln_l4,G4O2b-MJpn4
cycln_l5,G4O2b-MJpn4
cyclope1,GRwZ7-MJ7vy
cyclopes,GRwZ7-MJ7vy
dakar,GR02j-MLy1Z
dalejr,G5YWX-MQj9k
dd_l2,GRVEJ-MDq1w
dd_l3c,GRVEJ-MDq1w
dd_lu1,GRVEJ-MDq1w
dd_p06,GRVEJ-MDq1w
dd_p6,GRVEJ-MDq1w
dd_p7,GRVEJ-MDq1w
deadweap,Grj9q-MQ2EZ
dfndr_l4,G5p7D-MJNVo
dh_dx2,GrJ2Z-M61Xd
dh_lf2,GrJ2Z-M61Xd
dh_lx2,GrJ2Z-M61Xd
diamnffp,G4jXW-MQdrN
diamngfp,G4jXW-MQdrN
diamond,G4jXW-MQdrN
diamondf,G4jXW-MQdrN
diamondg,G4jXW-MQdrN
diamonfp,G4jXW-MQdrN
diner_f2,GRWBd-MLy5p
diner_g2,GRWBd-MLy5p
diner_l1,GRWBd-MLy5p
diner_l2,GRWBd-MLy5p
diner_l3,GRWBd-MLy5p
diner_l4,GRWBd-MLy5p
diner_l4fr,GRWBd-MLy5p
diner_p0,GRWBd-MLy5p
disco79,Gr83Y-MDlW2
disco_l1,G5o9o-MQpN2
dm_da1,G5bv3-MLW68
dm_dh5,G5bv3-MLW68
dm_dh5b,G5bv3-MLW68
dm_dt099,G5bv3-MLW68
dm_dt101,G5bv3-MLW68
dm_dx3,G5bv3-MLW68
dm_dx4,G5bv3-MLW68
dm_h5,G5bv3-MLW68
dm_h5b,G5bv3-MLW68
dm_h6,G5bv3-MLW68
dm_h6b,G5bv3-MLW68
dm_h6c,G5bv3-MLW68
dm_la1,G5bv3-MLW68
dm_lx3,G5bv3-MLW68
dm_lx4,G5bv3-MLW68
dm_lx4c,G5bv3-MLW68
dm_pa2,G5bv3-MLW68
dm_pa3,G5bv3-MLW68
dm_px5,G5bv3-MLW68
dm_px6,G5bv3-MLW68
dollyptb,G43Yq-MJ7o4
dollyptn,G43Yq-MJ7o4
drac_d1,G41do-MP3Py
drac_l1,G41do-MP3Py
drac_l2c,G41do-MP3Py
drac_p11,G41do-MP3Py
drac_p12,G41do-MP3Py
dracula,G4Zl2-Ml90d
draculc,G4Zl2-Ml90d
draculfp,G4Zl2-Ml90d
dragfib2,GRQkJ-MDxpK
dragfifp,GRQkJ-MDxpK
dragfis14,GRQkJ-MDxpK
dragfis15,GRQkJ-MDxpK
dragfis16,GRQkJ-MDxpK
dragfis3,GRQkJ-MDxpK
dragfis3b,GRQkJ-MDxpK
dragfisb,GRQkJ-MDxpK
dragfist,GRQkJ-MDxpK
dragon,G5Wn2-Mp4lp
dungdrag,G4JBP-MJ6jr
dvlrdffp,G5DPP-MJKbp
dvlrdfp,G5DPP-MJKbp
dvlrdgfp,G5DPP-MJKbp
dvlrdifp,G5DPP-MJKbp
dvlridef,G5DPP-MJKbp
dvlrideg,G5DPP-MJKbp
dvlridei,G5DPP-MJKbp
dvlrider,G5DPP-MJKbp
dvlsdre,GrNkY-MDbn2
dvlsdre2,GrNkY-MDbn2
dvlsdrea,GrNkY-MDbn2
dw_d1,G4x2Y-MQwwe
dw_d2,G4x2Y-MQwwe
dw_l1,G4x2Y-MQwwe
dw_l2,G4x2Y-MQwwe
dw_p5,G4x2Y-MQwwe
dw_p6,G4x2Y-MQwwe
eatpm_3g,Grlxp-MVKBW
eatpm_4g,Grlxp-MVKBW
eatpm_4u,Grlxp-MVKBW
eatpm_f1,Grlxp-MVKBW
eatpm_l1,Grlxp-MVKBW
eatpm_l2,Grlxp-MVKBW
eatpm_l4,Grlxp-MVKBW
eatpm_p7,Grlxp-MVKBW
ebalchmb,G439V-MDvWZ
eballch2,G439V-MDvWZ
eballchp,G439V-MDvWZ
eballd14,G5KXk-MLB9V
eballdla,G5KXk-MLB9V
eballdlb,G5KXk-MLB9V
eballdlc,G5KXk-MLB9V
eballdld,G5KXk-MLB9V
eballdlx,G5KXk-MLB9V
eballdp1,G5KXk-MLB9V
eballdp2,G5KXk-MLB9V
eballdp3,G5KXk-MLB9V
eballdp4,G5KXk-MLB9V
eclipse,G4ddn-MLX3E
eclipse7,G4ddn-MLX3E
eightblb,GrN7J-MJ78q
eightblc,GrN7J-MJ78q
eightbll,GrN7J-MJ78q
eightblo,GrN7J-MJ78q
eldorado,GrEZ5-MQ2jo
elektra,GRVld-MDE3l
elektraa,GRVld-MDE3l
elv100,G4qbX-MJw5r
elv302,G4qbX-MJw5r
elv302f,G4qbX-MJw5r
elv302g,G4qbX-MJw5r
elv302i,G4qbX-MJw5r
elv302l,G4qbX-MJw5r
elv303,G4qbX-MJw5r
